agi_grp,returns_total,returns_with_otded,returns_benefiting,total_benefit,total_otded_dollars,avg_benefit_per_benefiting
<0,2940295.75030796,41907.9070667985,186.803705540051,451285.35528412,210387760.438771,2415.82657035336
0-20k,58534023.6238553,907156.356359275,169715.077366273,16288428.4628258,969473312.828699,95.9751408984876
20-40k,28018128.3335373,1308950.56486664,923671.320635816,230104049.941575,3143388843.83425,249.118972085418
40-60k,25950702.6716943,2442016.47867227,2310444.86769856,1053557834.25742,9691420946.42663,455.997824915369
60-80k,18290264.8429168,2328706.00570391,2304829.01725841,1976981282.20072,13779496149.2721,857.756157787503
80-100k,11542324.3271478,1481145.54640839,1473430.92090315,1645663655.15117,9882933850.71822,1116.89230340194
100-120k,9966821.59755883,1272405.04894637,1271055.67593428,1504017540.72663,9458227959.80239,1183.2821875573
120-140k,8206557.75888352,908501.902293075,907547.294970684,1104177188.74869,7168817306.07727,1216.66076783839
140-160k,5132703.33599079,405000.363804448,404985.469386085,796289407.366751,3845275749.2731,1966.21722891402
160-180k,5967608.94304123,682628.504577337,682628.504577337,1375385951.08982,6130600481.65935,2014.83814676245
180-200k,4051172.88984312,575038.107164711,572677.014865601,1326213172.70549,5926374239.19559,2315.81351840484
200k+,18197507.9320594,1386176.73072001,1384549.17935358,3789996065.04983,16503342649.0121,2737.35026647397
TOTAL,196798112.006836,13739633.5165832,12405721.1466553,14819125861.0562,86709739248.5384,1194.53965520187
